Rank,Name, Price , Market Cap , Volume(24h) 
1,," $35,678.42 "," $677,856,342,416.00 "," $40,964,636,287.00 "
,Bitcoin,,," 1,146,237 BTC "
,BTC,,,
,,,,
2,," $2,446.41 "," $292,833,442,758.00 "," $24,419,180,925.00 "
,Ethereum,,," 9,982,801 ETH "
,ETH,,,
,,,,
3,, $1.00 ," $79,542,434,953.00 "," $95,053,917,880.00 "
,Tether,,," 94,972,862,715 USDT "
,USDT,,,
4,, $342.04 ," $56,580,121,947.00 "," $2,611,265,562.00 "
,BNB,,," 7,620,410 BNB "
,BNB,,,
,,,,
5,, $1.00 ," $53,052,325,930.00 "," $7,404,386,033.00 "
,USD Coin,,," 7,403,573,358 USDC "
,USDC,,,
6,, $0.65 ," $31,086,290,476.00 "," $4,300,113,951.00 "
,XRP,,," 6,632,742,909 XRP "
,XRP,,,
7,, $84.25 ," $27,069,601,948.00 "," $4,305,710,775.00 "
,Solana,,," 50,888,316 SOL "
,SOL,,,
,,,,
8,, $0.80 ," $26,905,672,967.00 "," $3,179,807,660.00 "
,Cardano,,," 3,974,094,396 ADA "
,ADA,,,
9,, $56.69 ," $21,743,295,044.00 "," $5,169,176,737.00 "
,Terra,,," 91,140,266 LUNA "
,LUNA,,,
,,,,
10,, $1.00 ," $18,324,830,862.00 "," $7,576,501,858.00 "
,Binance USD,,," 7,571,210,770 BUSD "
,BUSD,,,
11,, $70.33 ," $17,282,985,804.00 "," $2,558,888,071.00 "
,Avalanche,,," 36,371,552 AVAX "
,AVAX,,,
,,,,
12,, $0.12 ," $15,469,964,161.00 "," $1,655,990,358.00 "
,Dogecoin,,," 14,201,810,955 DOGE "
,DOGE,,,
13,, $15.34 ," $15,157,541,673.00 "," $2,076,032,710.00 "
,Polkadot,,," 135,262,499 DOT "
,DOT,,,
14,, $1.01 ," $12,505,669,664.00 "," $719,961,178.00 "
,TerraUSD,,," 714,448,276 UST "
,UST,,,
15,, $0.00 ," $12,351,147,692.00 "," $2,652,337,318.00 "
,Shiba Inu,,," 117,908,154,005,945 SHIB "
,SHIB,,,
,,,,
16,, $1.34 ," $10,090,258,780.00 "," $2,329,266,200.00 "
,Polygon,,," 1,738,773,253 MATIC "
,MATIC,,,
,,,,
17,, $1.00 ," $10,049,346,534.00 "," $561,564,159.00 "
,Dai,,," 561,368,167 DAI "
,DAI,,,
18,," $35,779.62 "," $9,418,349,449.00 "," $322,584,018.00 "
,Wrapped Bitcoin,,," 9,013 WBTC "
,WBTC,,,
19,, $0.37 ," $9,319,367,381.00 "," $191,113,066.00 "
,Cronos,,," 518,070,788 CRO "
,CRO,,,
20,, $97.29 ," $6,781,950,525.00 "," $1,378,346,906.00 "
,Litecoin,,," 14,167,583 LTC "
,LTC,,,
21,, $23.03 ," $6,599,627,204.00 "," $1,247,750,159.00 "
,Cosmos,,," 54,142,237 ATOM "
,ATOM,,,
22,, $0.06 ," $5,984,051,198.00 "," $1,213,510,734.00 "
,TRON,,," 20,635,577,886 TRX "
,TRX,,,
23,, $12.19 ," $5,690,835,665.00 "," $1,324,400,604.00 "
,Chainlink,,," 108,684,869 LINK "
,LINK,,,
24,, $39.39 ," $5,428,630,049.00 "," $234,033,688.00 "
,FTX Token,,," 5,941,504 FTT "
,FTT,,,
25,, $8.22 ," $5,200,880,631.00 "," $368,074,117.00 "
,Uniswap,,," 44,766,358 UNI "
,UNI,,,
26,, $5.44 ," $5,194,173,442.00 "," $8,118,662.00 "
,UNUS SED LEO,,," 1,491,061 LEO "
,LEO,,,
27,, $271.98 ," $5,165,377,515.00 "," $4,354,412,754.00 "
,Bitcoin Cash,,," 16,010,302 BCH "
,BCH,,,
28,, $7.96 ," $5,093,900,553.00 "," $653,075,020.00 "
,NEAR Protocol,,," 82,074,246 NEAR "
,NEAR,,,
29,, $0.74 ," $4,912,366,745.00 "," $383,015,464.00 "
,Algorand,,," 516,055,663 ALGO "
,ALGO,,,
30,, $2.39 ," $4,373,572,839.00 "," $1,439,257,625.00 "
,Decentraland,,," 602,915,759 MANA "
,MANA,,,
31,, $0.17 ," $4,280,056,736.00 "," $501,981,989.00 "
,Stellar,,," 2,924,148,627 XLM "
,XLM,,,
32,, $0.20 ," $3,954,626,516.00 "," $199,527,810.00 "
,Hedera,,," 987,155,878 HBAR "
,HBAR,,,
33,," $35,816.85 "," $3,766,115,686.00 "," $61,828,224.00 "
,Bitcoin BEP2,,," 1,726 BTCB "
,BTCB,,,
34,, $1.39 ," $3,544,978,279.00 "," $1,460,379,585.00 "
,Fantom,,," 1,048,433,845 FTM "
,FTM,,,
35,, $24.54 ," $3,268,072,838.00 "," $653,424,108.00 "
,Ethereum Classic,,," 26,628,043 ETC "
,ETC,,,
36,, $15.74 ," $3,264,200,715.00 "," $431,704,336.00 "
,Internet Computer,,," 27,434,564 ICP "
,ICP,,,
37,, $1.16 ," $3,047,736,053.00 "," $143,314,082.00 "
,Klaytn,,," 123,921,329 KLAY "
,KLAY,,,
38,, $2.80 ," $3,045,106,877.00 "," $1,458,120,345.00 "
,The Sandbox,,," 521,430,804 SAND "
,SAND,,,
39,, $17.52 ," $2,941,638,379.00 "," $555,920,636.00 "
,Filecoin,,," 31,724,207 FIL "
,FIL,,,
40,, $128.30 ," $2,765,448,711.00 "," $374,453,166.00 "
,Elrond,,," 2,918,609 EGLD "
,EGLD,,,
41,, $44.35 ," $2,701,028,908.00 "," $520,123,164.00 "
,Axie Infinity,,," 11,728,642 AXS "
,AXS,,,
42,, $0.04 ," $2,675,791,701.00 "," $488,079,031.00 "
,VeChain,,," 11,731,512,776 VET "
,VET,,,
43,, $138.49 ," $2,504,361,544.00 "," $155,288,783.00 "
,Monero,,," 1,121,323 XMR "
,XMR,,,
44,, $2.43 ," $2,430,891,962.00 "," $401,873,854.00 "
,Theta Network,,," 165,319,504 THETA "
,THETA,,,
45,, $2.74 ," $2,410,361,933.00 "," $238,792,099.00 "
,Tezos,,," 87,095,402 XTZ "
,XTZ,,,
46,, $21.30 ," $2,386,959,985.00 "," $54,053,086.00 "
,Helium,,," 2,537,644 HNT "
,HNT,,,
47,, $1.95 ," $1,913,892,503.00 "," $598,498,073.00 "
,EOS,,," 306,874,127 EOS "
,EOS,,,
48,, $0.66 ," $1,823,741,905.00 "," $70,585,532.00 "
,IOTA,,," 107,578,063 MIOTA "
,MIOTA,,,
49,," $1,726.18 "," $1,687,565,007.00 "," $87,758,574.00 "
,Maker,,," 50,840 MKR "
,MKR,,,
50,, $5.00 ," $1,653,988,584.00 "," $225,070,552.00 "
,Flow,,," 44,989,095 FLOW "
,FLOW,,,
51,, $0.00 ," $1,632,143,838.00 "," $107,945,776.00 "
,BitTorrent (New),,," 61,672,975,357,036 BTT "
,BTT,,,
52,, $119.70 ," $1,630,538,224.00 "," $257,544,076.00 "
,Aave,,," 2,151,497 AAVE "
,AAVE,,,
53,, $5.93 ," $1,604,941,443.00 "," $232,852,442.00 "
,PancakeSwap,,," 39,293,624 CAKE "
,CAKE,,,
54,, $0.33 ," $1,562,988,771.00 "," $154,216,073.00 "
,The Graph,,," 465,289,437 GRT "
,GRT,,,
55,, $77.88 ," $1,478,750,945.00 "," $144,387,353.00 "
,Bitcoin SV,,," 1,854,021 BSV "
,BSV,,,
56,, $1.00 ," $1,457,107,690.00 "," $143,971,148.00 "
,TrueUSD,,," 143,864,324 TUSD "
,TUSD,,,
57,, $0.21 ," $1,449,752,966.00 "," $1,731,294,464.00 "
,Gala,,," 8,332,176,192 GALA "
,GALA,,,
58,, $0.12 ," $1,394,986,428.00 "," $233,310,013.00 "
,Harmony,,," 1,959,787,163 ONE "
,ONE,,,
59,, $16.88 ," $1,352,388,100.00 "," $23,790,175.00 "
,KuCoin Token,,," 1,409,386 KCS "
,KCS,,,
60,, $1.04 ," $1,349,138,324.00 "," $40,689,122.00 "
,Stacks,,," 39,196,616 STX "
,STX,,,
61,, $8.37 ," $1,307,226,091.00 "," $92,433,654.00 "
,Huobi Token,,," 11,039,503 HT "
,HT,,,
62,, $18.32 ," $1,292,291,457.00 "," $277,661,226.00 "
,Neo,,," 15,155,945 NEO "
,NEO,,,
63,, $92.63 ," $1,279,716,708.00 "," $267,709,007.00 "
,Zcash,,," 2,890,164 ZEC "
,ZEC,,,
64,, $0.00 ," $1,263,767,502.00 "," $28,811,643.00 "
,eCash,,," 432,891,324,117 XEC "
,XEC,,,
65,, $101.54 ," $1,225,919,611.00 "," $88,888,561.00 "
,Quant,,," 875,366 QNT "
,QNT,,,
66,, $1.24 ," $1,071,139,132.00 "," $357,967,442.00 "
,Enjin Coin,,," 289,506,481 ENJ "
,ENJ,,,
67,, $3.15 ," $1,041,898,647.00 "," $68,581,037.00 "
,THORChain,,," 21,766,925 RUNE "
,RUNE,,,
68,, $1.80 ," $1,007,584,191.00 "," $13,446,259.00 "
,Nexo,,," 7,473,227 NEXO "
,NEXO,,,
69,, $0.02 ," $984,570,036.00 "," $21,356,141.00 "
,Amp,,," 915,953,916 AMP "
,AMP,,,
70,, $16.26 ," $975,456,995.00 "," $349,452,008.00 "
,OKB,,," 21,494,664 OKB "
,OKB,,,
71,, $5.55 ," $950,606,222.00 "," $74,696,657.00 "
,Kadena,,," 13,459,423 KDA "
,KDA,,,
72,, $1.00 ," $948,421,878.00 "," $56,357,791.00 "
,Pax Dollar,,," 56,192,659 USDP "
,USDP,,,
73,, $8.67 ," $932,859,496.00 "," $332,251,985.00 "
,Waves,,," 38,315,376 WAVES "
,WAVES,,,
74,, $110.06 ," $932,252,574.00 "," $83,520,949.00 "
,Kusama,,," 758,840 KSM "
,KSM,,,
75,, $2.04 ," $918,839,213.00 "," $449,883,065.00 "
,Curve DAO Token,,," 220,627,601 CRV "
,CRV,,,
76,, $0.15 ," $908,549,234.00 "," $207,425,979.00 "
,Chiliz,,," 1,364,135,578 CHZ "
,CHZ,,,
77,, $0.68 ," $903,024,220.00 "," $313,187,835.00 "
,Loopring,,," 461,131,249 LRC "
,LRC,,,
78,, $0.60 ," $899,331,843.00 "," $142,317,549.00 "
,Basic Attention Token,,," 236,704,360 BAT "
,BAT,,,
79,, $17.30 ," $892,618,062.00 "," $21,623,518.00 "
,Convex Finance,,," 1,250,201 CVX "
,CVX,,,
80,, $82.42 ," $873,048,387.00 "," $232,045,143.00 "
,Dash,,," 2,815,512 DASH "
,DASH,,,
81,, $2.14 ," $870,012,143.00 "," $84,135,661.00 "
,Celo,,," 39,406,480 CELO "
,CELO,,,
82,, $0.09 ," $799,945,338.00 "," $34,614,338.00 "
,NEM,,," 389,437,909 XEM "
,XEM,,,
83,, $23.82 ," $795,502,515.00 "," $71,033,374.00 "
,Arweave,,," 2,981,937 AR "
,AR,,,
84,, $0.14 ," $756,986,597.00 "," $59,497,627.00 "
,Theta Fuel,,," 416,664,810 TFUEL "
,TFUEL,,,
85,, $0.86 ," $743,755,401.00 "," $106,272,515.00 "
,BORA,,," 123,060,892 BORA "
,BORA,,,
86,, $2.89 ," $739,568,278.00 "," $109,017,947.00 "
,Anchor Protocol,,," 37,743,210 ANC "
,ANC,,,
87,, $4.47 ," $729,758,929.00 "," $33,815,178.00 "
,Secret,,," 7,566,702 SCRT "
,SCRT,,,
88,, $0.13 ," $722,783,284.00 "," $14,502,510.00 "
,Symbol,,," 112,011,005 XYM "
,XYM,,,
89,, $1.86 ," $721,078,458.00 "," $84,751,651.00 "
,Mina,,," 45,457,331 MINA "
,MINA,,,
90,, $0.19 ," $675,862,367.00 "," $260,132,656.00 "
,Oasis Network,,," 1,344,426,220 ROSE "
,ROSE,,,
91,," $18,393.59 "," $673,899,163.00 "," $194,143,126.00 "
,yearn.finance,,," 10,555 YFI "
,YFI,,,
92,, $101.45 ," $668,288,507.00 "," $95,223,144.00 "
,Compound,,," 938,638 COMP "
,COMP,,,
93,, $47.96 ," $661,607,378.00 "," $5,320,039.00 "
,Decred,,," 110,921 DCR "
,DCR,,,
94,, $2.76 ," $660,433,846.00 "," $9,329,333.00 "
,Celsius,,," 3,374,202 CEL "
,CEL,,,
95,, $0.00 ," $655,374,232.00 "," $90,509,479.00 "
,Holo,,," 23,927,930,133 HOT "
,HOT,,,
96,, $0.07 ," $631,083,316.00 "," $49,924,708.00 "
,IoTeX,,," 754,766,619 IOTX "
,IOTX,,,
97,," $35,797.98 "," $582,885,658.00 "," $6,230,198.00 "
,renBTC,,, 174 RENBTC 
,RENBTC,,,
98,, $300.49 ," $560,387,498.00 "," $10,024,301.00 "
,Gnosis,,," 33,362 GNO "
,GNO,,,
99,, $0.04 ," $546,932,883.00 "," $19,146,322.00 "
,XDC Network,,," 430,758,037 XDC "
,XDC,,,
100,, $5.40 ," $534,806,113.00 "," $186,750,244.00 "
,Qtum,,," 34,577,954 QTUM "
,QTUM,,,
101,, $0.21 ," $525,818,028.00 "," $5,748,224.00 "
,Rally,,," 27,434,235 RLY "
,RLY,,,
102,, $2.03 ," $525,585,392.00 "," $38,382,210.00 "
,Bancor,,," 18,864,925 BNT "
,BNT,,,
103,, $1.26 ," $522,266,550.00 "," $110,290,305.00 "
,1inch Network,,," 87,797,097 1INCH "
,1INCH,,,
104,, $0.05 ," $519,726,347.00 "," $52,121,238.00 "
,Ravencoin,,," 1,050,323,588 RVN "
,RVN,,,
105,, $0.23 ," $515,707,598.00 "," $8,077,308.00 "
,Velas,,," 35,506,202 VLX "
,VLX,,,
106,, $0.25 ," $498,099,298.00 "," $50,036,444.00 "
,WAX,,," 196,730,708 WAXP "
,WAXP,,,
107,, $3.52 ," $493,806,292.00 "," $230,437,389.00 "
,OMG Network,,," 65,446,277 OMG "
,OMG,,,
108,, $0.49 ," $486,366,033.00 "," $3,737,675.00 "
,SwissBorg,,," 7,684,901 CHSB "
,CHSB,,,
109,, $2.26 ," $482,050,765.00 "," $82,797,420.00 "
,Render Token,,," 36,680,838 RNDR "
,RNDR,,,
110,, $0.99 ," $465,485,532.00 "," $9,958,938.00 "
,Neutrino USD,,," 10,037,453 USDN "
,USDN,,,
111,," $1,963.10 "," $464,906,347.00 "," $255,716,118.00 "
,PAX Gold,,," 130,262 PAXG "
,PAXG,,,
112,, $5.93 ," $463,955,809.00 "," $6,896,561.00 "
,GateToken,,," 1,162,894 GT "
,GT,,,
113,, $0.00 ," $456,811,338.00 "," $118,262,193.00 "
,APENFT,,," 71,732,359,198,392 NFT "
,NFT,,,
114,, $25.75 ," $450,952,025.00 "," $9,761,036.00 "
,Bitcoin Gold,,," 379,096 BTG "
,BTG,,,
115,, $0.06 ," $450,834,624.00 "," $51,130,599.00 "
,Ankr,,," 925,780,562 ANKR "
,ANKR,,,
116,, $0.04 ," $440,402,539.00 "," $68,329,641.00 "
,Zilliqa,,," 1,930,029,626 ZIL "
,ZIL,,,
117,, $2.83 ," $435,273,887.00 "," $90,002,336.00 "
,Kava,,," 31,853,995 KAVA "
,KAVA,,,
118,, $0.71 ," $430,913,031.00 "," $24,597,163.00 "
,Audius,,," 34,723,933 AUDIO "
,AUDIO,,,
119,, $1.00 ," $425,676,051.00 "," $35,706,771.00 "
,Fei USD,,," 35,649,741 FEI "
,FEI,,,
120,, $20.02 ," $423,694,269.00 "," $32,431,766.00 "
,Livepeer,,," 1,620,053 LPT "
,LPT,,,
121,, $0.00 ," $422,412,839.00 "," $2,052,816.00 "
,Revain,,," 413,376,495 REV "
,REV,,,
122,, $0.57 ," $413,272,172.00 "," $45,739,286.00 "
,ICON,,," 80,239,963 ICX "
,ICX,,,
123,, $3.56 ," $408,977,663.00 "," $92,828,810.00 "
,Synthetix,,," 26,066,467 SNX "
,SNX,,,
124,, $1.45 ," $404,265,609.00 "," $25,949,731.00 "
,Voyager Token,,," 17,875,719 VGX "
,VGX,,,
125,, $0.47 ," $400,674,487.00 "," $44,376,417.00 "
,0x,,," 93,863,820 ZRX "
,ZRX,,,
126,, $0.45 ," $391,024,823.00 "," $65,571,362.00 "
,Ontology,,," 146,771,509 ONT "
,ONT,,,
127,, $0.01 ," $386,082,312.00 "," $34,526,939.00 "
,Siacoin,,," 4,490,179,933 SC "
,SC,,,
128,, $5.15 ," $383,852,343.00 "," $28,992,518.00 "
,Perpetual Protocol,,," 5,625,126 PERP "
,PERP,,,
129,, $0.00 ," $383,376,637.00 "," $16,313,987.00 "
,Dogelon Mars,,," 23,524,430,568,641 ELON "
,ELON,,,
130,, $2.97 ," $377,521,116.00 "," $222,120,654.00 "
,SushiSwap,,," 74,866,326 SUSHI "
,SUSHI,,,
131,, $30.96 ," $374,642,815.00 "," $49,060,141.00 "
,Horizen,,," 1,584,673 ZEN "
,ZEN,,,
132,, $0.02 ," $373,839,412.00 "," $65,080,509.00 "
,IOST,,," 3,150,922,360 IOST "
,IOST,,,
133,, $2.01 ," $369,701,706.00 "," $120,030,792.00 "
,Moonbeam,,," 59,644,847 GLMR "
,GLMR,,,
134,, $0.11 ," $356,581,371.00 "," $28,923,377.00 "
,SKALE Network,,," 260,877,652 SKL "
,SKL,,,
135,, $0.53 ," $337,217,437.00 "," $6,206,525.00 "
,Keep Network,,," 11,818,073 KEEP "
,KEEP,,,
136,, $0.37 ," $332,808,224.00 "," $70,154,550.00 "
,WOO Network,,," 191,008,580 WOO "
,WOO,,,
137,, $0.00 ," $329,709,542.00 "," $145,194,231.00 "
,Spell Token,,," 36,765,770,471 SPELL "
,SPELL,,,
138,, $1.40 ," $328,976,672.00 "," $110,817,275.00 "
,Immutable X,,," 79,256,477 IMX "
,IMX,,,
139,, $0.83 ," $318,002,886.00 "," $37,074,374.00 "
,Storj,,," 44,849,161 STORJ "
,STORJ,,,
140,, $0.01 ," $317,136,021.00 "," $18,300,615.00 "
,Nervos Network,,," 1,724,743,958 CKB "
,CKB,,,
141,, $491.40 ," $315,914,802.00 "," $33,762,519.00 "
,Illuvium,,," 68,707 ILV "
,ILV,,,
142,, $1.10 ," $311,290,545.00 "," $15,807,728.00 "
,Ultra,,," 14,358,511 UOS "
,UOS,,,
143,, $4.73 ," $309,994,995.00 "," $185,205,707.00 "
,dYdX,,," 39,174,206 DYDX "
,DYDX,,,
144,, $0.44 ," $308,539,970.00 "," $131,637,718.00 "
,NuCypher,,," 299,932,990 NU "
,NU,,,
145,, $0.76 ," $307,121,004.00 "," $19,648,198.00 "
,Hive,,," 25,822,086 HIVE "
,HIVE,,,
146,, $0.04 ," $299,621,346.00 "," $108,803,089.00 "
,JUST,,," 2,651,042,058 JST "
,JST,,,
147,, $4.53 ," $295,989,497.00 "," $33,848,631.00 "
,UMA,,," 7,473,612 UMA "
,UMA,,,
148,, $0.00 ," $288,390,281.00 "," $12,359,609.00 "
,Telcoin,,," 2,532,587,361 TEL "
,TEL,,,
149,, $0.29 ," $285,612,316.00 "," $5,104,732.00 "
,Golem,,," 17,872,939 GLM "
,GLM,,,
150,, $0.32 ," $283,839,425.00 "," $14,180,091.00 "
,Polymath,,," 44,889,932 POLY "
,POLY,,,
151,, $1.59 ," $282,101,121.00 "," $77,706,699.00 "
,Kyber Network Crystal v2,,," 48,978,812 KNC "
,KNC,,,
152,, $17.31 ," $280,568,472.00 "," $18,359,647.00 "
,Frax Share,,," 1,060,700 FXS "
,FXS,,,
153,, $0.07 ," $268,191,187.00 "," $11,822,462.00 "
,Casper,,," 173,727,329 CSPR "
,CSPR,,,
154,, $0.42 ," $268,119,760.00 "," $42,308,412.00 "
,Syscoin,,," 100,008,327 SYS "
,SYS,,,
155,, $1.18 ," $267,718,763.00 "," $36,471,771.00 "
,Flux,,," 30,970,988 FLUX "
,FLUX,,,
156,, $2.98 ," $263,758,183.00 "," $4,422,172.00 "
,Braintrust,,," 1,484,046 BTRST "
,BTRST,,,
157,, $0.02 ," $262,584,734.00 "," $31,435,524.00 "
,DigiByte,,," 1,810,256,467 DGB "
,DGB,,,
158,, $0.57 ," $260,097,926.00 "," $21,992,506.00 "
,Tribe,,," 38,341,220 TRIBE "
,TRIBE,,,
159,, $12.83 ," $259,717,302.00 "," $85,483,784.00 "
,Ethereum Name Service,,," 6,663,428 ENS "
,ENS,,,
160,, $0.26 ," $257,709,594.00 "," $53,487,064.00 "
,Ren,,," 207,306,545 REN "
,REN,,,
161,, $5.16 ," $250,827,117.00 "," $80,261,221.00 "
,Injective,,," 15,568,600 INJ "
,INJ,,,
162,, $0.28 ," $247,701,952.00 "," $2,614,285.00 "
,DigitalBits,,," 9,230,750 XDB "
,XDB,,,
163,, $0.40 ," $245,535,140.00 "," $38,089,883.00 "
,Ocean Protocol,,," 95,110,113 OCEAN "
,OCEAN,,,
164,, $76.01 ," $244,682,649.00 "," $16,504,242.00 "
,Chia,,," 217,130 XCH "
,XCH,,,
165,, $0.60 ," $242,464,585.00 "," $56,128,671.00 "
,SuperFarm,,," 93,617,989 SUPER "
,SUPER,,,
166,, $0.00 ," $241,885,424.00 "," $138,846,761.00 "
,WINkLink,,," 552,055,212,598 WIN "
,WIN,,,
167,, $2.98 ," $240,626,939.00 "," $4,163,498.00 "
,Persistence,,," 1,399,079 XPRT "
,XPRT,,,
168,, $6.27 ," $231,490,115.00 "," $309,708,981.00 "
,API3,,," 49,378,697 API3 "
,API3,,,
169,, $1.73 ," $231,184,565.00 "," $91,873,945.00 "
,Serum,,," 52,947,001 SRM "
,SRM,,,
170,, $0.76 ," $228,222,114.00 "," $32,509,367.00 "
,PlayDapp,,," 43,048,922 PLA "
,PLA,,,
171,, $1.00 ," $226,993,084.00 "," $11,585,974.00 "
,Gemini Dollar,,," 11,598,774 GUSD "
,GUSD,,,
172,, $0.04 ," $226,534,514.00 "," $245,302,183.00 "
,ConstitutionDAO,,," 5,479,353,714 PEOPLE "
,PEOPLE,,,
173,, $0.03 ," $218,943,019.00 "," $84,352,896.00 "
,Celer Network,,," 2,512,696,173 CELR "
,CELR,,,
174,, $0.08 ," $218,241,372.00 "," $12,393,548.00 "
,MXC,,," 150,042,104 MXC "
,MXC,,,
175,, $1.63 ," $218,235,880.00 "," $45,918,696.00 "
,Nano,,," 28,036,582 XNO "
,XNO,,,
176,, $1.12 ," $217,500,783.00 "," $142,843,998.00 "
,Swipe,,," 127,783,372 SXP "
,SXP,,,
177,, $2.51 ," $216,444,744.00 "," $59,937,577.00 "
,Yield Guild Games,,," 23,680,698 YGG "
,YGG,,,
178,, $0.29 ," $215,829,328.00 "," $19,775,051.00 "
,CEEK VR,,," 68,184,121 CEEK "
,CEEK,,,
179,, $1.16 ," $215,530,467.00 "," $50,083,281.00 "
,Coin98,,," 42,988,850 C98 "
,C98,,,
180,, $8.80 ," $212,773,607.00 "," $68,967,266.00 "
,Vulcan Forged PYR,,," 7,746,069 PYR "
,PYR,,,
181,, $0.00 ," $206,616,494.00 "," $58,180,568.00 "
,Dent,,," 27,879,330,437 DENT "
,DENT,,,
182,, $0.02 ," $204,702,368.00 "," $7,282,568.00 "
,XYO,,," 456,972,163 XYO "
,XYO,,,
183,, $2.42 ," $204,546,744.00 "," $59,419,691.00 "
,Raydium,,," 24,557,043 RAY "
,RAY,,,
184,, $0.44 ," $204,266,049.00 "," $60,650,629.00 "
,Powerledger,,," 138,033,874 POWR "
,POWR,,,
185,, $16.44 ," $199,966,142.00 "," $9,418,064.00 "
,Rari Governance Token,,," 572,967 RGT "
,RGT,,,
186,, $0.72 ," $198,572,605.00 "," $167,001,127.00 "
,Ontology Gas,,," 230,542,066 ONG "
,ONG,,,
187,, $6.36 ," $194,487,496.00 "," $548,664,193.00 "
,MyNeighborAlice,,," 86,324,955 ALICE "
,ALICE,,,
188,, $0.47 ," $194,024,973.00 "," $2,808,140.00 "
,Function X,,," 5,912,549 FX "
,FX,,,
189,, $0.18 ," $193,279,365.00 "," $45,988,451.00 "
,COTI,,," 249,392,396 COTI "
,COTI,,,
190,, $0.34 ," $192,259,669.00 "," $89,940,743.00 "
,Chromia,,," 265,420,352 CHR "
,CHR,,,
191,, $59.38 ," $190,925,143.00 "," $29,427,232.00 "
,Moonriver,,," 495,599 MOVR "
,MOVR,,,
192,, $0.19 ," $190,869,703.00 "," $21,562,619.00 "
,Request,,," 112,956,355 REQ "
,REQ,,,
193,, $1.20 ," $190,716,070.00 "," $2,495,204.00 "
,Boba Network,,," 2,079,739 BOBA "
,BOBA,,,
194,, $0.03 ," $188,406,016.00 "," $7,518,764.00 "
,MediBloc,,," 214,796,783 MED "
,MED,,,
195,, $1.45 ," $187,033,049.00 "," $7,597,586.00 "
,Lisk,,," 5,236,146 LSK "
,LSK,,,
196,, $2.33 ," $186,474,935.00 "," $81,929,802.00 "
,MOBOX,,," 35,084,322 MBOX "
,MBOX,,,
197,, $0.25 ," $183,275,867.00 "," $31,420,190.00 "
,Fetch.ai,,," 127,911,188 FET "
,FET,,,
198,, $0.04 ," $179,989,893.00 "," $63,649,526.00 "
,Alchemy Pay,,," 1,439,123,027 ACH "
,ACH,,,
199,, $0.21 ," $178,464,857.00 "," $11,346,026.00 "
,Mdex,,," 54,565,051 MDX "
,MDX,,,
200,, $0.45 ," $176,546,592.00 "," $2,108,928.00 "
,AVINOC,,," 4,649,699 AVINOC "
,AVINOC,,,
